mode,physical_run_id,scenario,metric,complete_trials,predicted_trials,observed_mean,predicted_mean,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,short,output_tokens_per_second,73,73,5.516440265061164,855.9510577090532,15417.114423363857,15416.365927685118,15392.894471763291,15443.413781478477
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,short,ttft_ms,73,73,342.6378472876712,5.3021069999999995,98.45244767094616,98.45256236519941,-98.45584486309639,-98.44963960464816
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,short,average_tpot_ms,73,73,158.18637189432485,0.5394932857142857,99.65893047325409,99.65895084434031,-99.65959656386187,-99.65835150480373
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,short,exact_itl_ms,73,73,158.18637189432485,0.5394932857142857,99.65893047325409,99.65895084434031,-99.65959656386187,-99.65835150480373
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,short,request_latency_ms,73,73,1450.285919890411,9.07856,99.37398332584033,99.37401584918608,-99.37514299598607,-99.3730124283672
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,short,last_token_latency_ms,73,73,1449.9424505479453,9.07856,99.37383562152542,99.3738675630492,-99.37497258322693,-99.37287145646445
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-127,output_tokens_per_second,73,73,5.847020223604452,873.4342772793088,14851.586285494135,14838.109393794299,14779.951816156647,14944.015848271896
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-127,ttft_ms,73,73,348.73019160273975,9.9327,97.15150626352965,97.15175220294233,-97.15835636332545,-97.14596235828091
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-127,average_tpot_ms,73,73,159.32192700821918,0.539838333333333,99.66077457136726,99.6611650740921,-99.66452330860078,-99.65931974152748
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-127,exact_itl_ms,73,73,159.32192700821918,0.539838333333333,99.66077457136726,99.6611650740921,-99.66452330860078,-99.65931974152748
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-127,request_latency_ms,73,73,2738.9104592054796,18.030274999999996,99.34110385898657,99.34169899788435,-99.34744283218149,-99.33852212173369
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-127,last_token_latency_ms,73,73,2738.5590967260273,18.030274999999996,99.34101924376948,99.34161453658037,-99.34736095236849,-99.33843745183965
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-128,output_tokens_per_second,73,73,5.842193258707215,873.0814882191445,14852.603543931775,14844.412989383782,14784.245917116046,14934.822638269765
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-128,ttft_ms,73,73,354.2521514383562,9.936998999999998,97.17143233032728,97.19493616068296,-97.28306679871338,-97.14718381086408
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-128,average_tpot_ms,73,73,159.04128907123288,0.5398393999999997,99.6604275325682,99.66056650876475,-99.66257584320199,-99.65938957170722
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-128,exact_itl_ms,73,73,159.04128907123288,0.5398393999999997,99.6604275325682,99.66056650876475,-99.66257584320199,-99.65938957170722
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-128,request_latency_ms,73,73,2740.2189336849315,18.034589999999994,99.34149024924032,99.34185587223324,-99.34631364325843,-99.3388112037355
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-128,last_token_latency_ms,73,73,2739.8714875068495,18.034589999999994,99.3414067671907,99.34177241223782,-99.34623187960484,-99.33872689682705
