scope,mode,metric,planned_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent,mean_signed_error_percent,weighting
forward-full,SOL,forward_ms,46,46,180.25733532672547,7.151427460103255,96.15126572142134,96.03265661997004,-96.15126572142134,signed/APE statistics: equal logical configurations; WAPE: observed-latency weighted; observed median of rank maxima
forward-full,HYBRID,forward_ms,46,46,180.25733532672547,183.67479329748758,7.367855037109046,7.2320743391736455,1.3672449396650634,signed/APE statistics: equal logical configurations; WAPE: observed-latency weighted; observed median of rank maxima
forward-full,SILICON,forward_ms,46,46,180.25733532672547,183.67479329748758,7.367855037109046,7.2320743391736455,1.3672449396650634,signed/APE statistics: equal logical configurations; WAPE: observed-latency weighted; observed median of rank maxima
forward-decoder_bounded,SOL,forward_ms,46,46,182.19583871541545,7.1375626530597795,96.15298817109233,96.08247767710631,-96.15298817109233,signed/APE statistics: equal logical configurations; WAPE: observed-latency weighted; observed median of rank maxima
forward-decoder_bounded,HYBRID,forward_ms,46,46,182.19583871541545,174.21796703822062,4.844396836721011,4.847593270621756,-4.375901170694141,signed/APE statistics: equal logical configurations; WAPE: observed-latency weighted; observed median of rank maxima
forward-decoder_bounded,SILICON,forward_ms,46,46,182.19583871541545,174.21796703822062,4.844396836721011,4.847593270621756,-4.375901170694141,signed/APE statistics: equal logical configurations; WAPE: observed-latency weighted; observed median of rank maxima
serving-off,SOL,ttft_ms,600,600,373.06866149083334,13.088016309722226,96.52013136853242,96.49179422966789,-96.52013136853242,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SOL,average_tpot_ms,600,600,158.84178527163775,0.6731423239528935,99.5774721011843,99.57621835916679,-99.5774721011843,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SOL,exact_itl_ms,600,600,158.84178527163775,0.6731423239528935,99.5774721011843,99.57621835916679,-99.5774721011843,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SOL,output_tokens_per_second,600,600,8.67725141743719,1172.8965206278642,14131.61588765428,13416.912950924692,14131.61588765428,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
