HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command,Source,FPEProbeCount,FPETopologyCount,FPEStatusCounts,FPEPhaseLatencyMs,SourceSHA
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.10,agg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.10"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4552.269009, decode_start=17.854423, mixed=45.172213, prefill=43.822907",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.10,disagg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.10"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4552.269009, decode_start=17.854423, mixed=45.172213, prefill=43.822907",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.12,agg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.12"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4020.998331, decode_start=15.809671, mixed=43.900865, prefill=42.925516",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.12,disagg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.12"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4020.998331, decode_start=15.809671, mixed=43.900865, prefill=42.925516",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.14,agg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.14"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4020.998331, decode_start=15.809671, mixed=43.900865, prefill=42.925516",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.14,disagg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.14"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4020.998331, decode_start=15.809671, mixed=43.900865, prefill=42.925516",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.16,agg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.16"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4020.998331, decode_start=15.809671, mixed=43.900865, prefill=42.925516",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.16,disagg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.16"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4020.998331, decode_start=15.809671, mixed=43.900865, prefill=42.925516",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.9,agg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.9"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4071.815122, decode_start=15.961648, mixed=39.179258, prefill=38.212980",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,sglang,0.5.9,disagg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""sglang"" --backend-version ""0.5.9"" --forward-model op_level --max-workers 8",silicon,540,135,"BUILD_FAILED=56, PASS=164, SDK_UNREPRESENTABLE=320","decode_end=4071.815122, decode_start=15.961648, mixed=39.179258, prefill=38.212980",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
