HuggingFaceID,Architecture,System,Backend,Version,Status,ErrMsg,Command,Source,FPEProbeCount,FPETopologyCount,FPEStatusCounts,FPEPhaseLatencyMs,SourceSHA
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320; raw probes=540; topologies=135; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""sglang"" --backend-version ""0.5.10"" --forward-model op_level --max-workers 8",,540,135,"BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10rc0,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320; raw probes=540; topologies=135; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""sglang"" --backend-version ""0.5.10rc0"" --forward-model op_level --max-workers 8",,540,135,"BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.12,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320; raw probes=540; topologies=135; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""sglang"" --backend-version ""0.5.12"" --forward-model op_level --max-workers 8",,540,135,"BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.14,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320; raw probes=540; topologies=135; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""sglang"" --backend-version ""0.5.14"" --forward-model op_level --max-workers 8",,540,135,"BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.16,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320; raw probes=540; topologies=135; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""sglang"" --backend-version ""0.5.16"" --forward-model op_level --max-workers 8",,540,135,"BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.9,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320; raw probes=540; topologies=135; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""sglang"" --backend-version ""0.5.9"" --forward-model op_level --max-workers 8",,540,135,"BUILD_FAILED=56, PERF_DATA_MISSING=164, SDK_UNREPRESENTABLE=320",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc10,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""trtllm"" --backend-version ""1.3.0rc10"" --forward-model op_level --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc15,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""trtllm"" --backend-version ""1.3.0rc15"" --forward-model op_level --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc20,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""trtllm"" --backend-version ""1.3.0rc20"" --forward-model op_level --max-workers 8",silicon,116,29,"BUILD_FAILED=24, PASS=92","decode_end=14224.130017, decode_start=55.697007, mixed=191.260831, prefill=188.452291",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc23,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""rtx_pro_6000_server"" --backend ""trtllm"" --backend-version ""1.3.0rc23"" --forward-model op_level --max-workers 8",silicon,116,29,"BUILD_FAILED=24, PASS=92","decode_end=14224.130017, decode_start=55.697007, mixed=191.260831, prefill=188.452291",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
